,,,,,
,name,wins,losses,ties,win_percentage
1,Ravens ,14,2,0,0.875
2,49ers,13,3,0,0.813
3,Packers,13,3,0,0.813
4,Saints,13,3,0,0.813
5,Chiefs,12,4,0,0.750
6,Patriots,12,4,0,0.750
7,Seahawks,11,5,0,0.688
8,Texans      ,10,6,0,0.625
9,Bills,10,6,0,0.625
10,Vikings,10,6,0,0.625
11,Eagles,9,7,0,0.563
12,Titans ,9,7,0,0.563
13,Rams,9,7,0,0.563
14,Steelers,8,8,0,0.500
15,Bears,8,8,0,0.500
16,Cowboys,8,8,0,0.500
17,Broncos,7,9,0,0.438
18,Raiders,7,9,0,0.438
19,Falcons,7,9,0,0.438
20,Colts      ,7,9,0,0.438
21,Jets,7,9,0,0.438
22,Buccaneers,7,9,0,0.438
23,Jaguars,6,10,0,0.375
24,Browns,6,10,0,0.375
25,Cardinals,5,10,1,0.344
26,Panthers,5,11,0,0.313
27,Chargers,5,11,0,0.313
28,Dolphins,5,11,0,0.313
29,GIants,4,12,0,0.250
30,Lions,3,12,1,0.219
31,Football Team,3,13,0,0.188
32,Bengals,2,14,0,0.125
